,osm_address,district
1236,"Москва, шоссе Энтузиастов, 53",Южное Измайлово
1237,"Москва, Зелёный проспект, 22",район Новогиреево
1238,"Москва, улица Металлургов, 62",район Новогиреево
1239,"Москва, Сокольническая площадь, 9",район Сокольники
1240,"Москва, Погонный проезд, 3А",район Богородское
1241,"Москва, Первомайская улица, 42",район Измайлово
1242,"Москва, Перовская улица, 66",район Новогиреево
1243,"Москва, улица Васильцовский Стан, 5",Рязанский район
1244,"Москва, 1-я улица Машиностроения, 10",Кожухово
1245,"Москва, улица Хлобыстова, 14",Выхино
1246,"Москва, проспект Защитников Москвы, 14",район Некрасовка
1247,"Москва, Волгоградский проспект, 84",район Кузьминки
1248,"Москва, улица Островитянова, 5",Обручевский район
1249,"Москва, Профсоюзная улица, 58",Обручевский район
1250,"Москва, улица Воронцовские Пруды, 3",Обручевский район
1251,"Москва, Новочерёмушкинская улица, 34",Академический район
1252,"Москва, Профсоюзная улица, 96",район Коньково
1253,"Москва, улица Гарибальди, 3А",Ломоносовский район
1254,"Москва, Профсоюзная улица, 104",район Коньково
1255,"Москва, улица Академика Пилюгина, 4",Ломоносовский район
1256,"Москва, улица Академика Пилюгина, 6",Ломоносовский район
1257,"Москва, улица Гарибальди, 7",Ломоносовский район
1258,"Москва, Ленинский проспект, 111",Обручевский район
1259,"Москва, Профсоюзная улица, 25",район Черёмушки
1260,"Москва, улица Гарибальди, 6",Ломоносовский район
1261,"Москва, Малая Юшуньская улица, 3",район Зюзино
1262,"Москва, улица Академика Волгина, 8А",район Коньково
1263,"Москва, улица Академика Виноградова, 1",район Тёплый Стан
1264,"Москва, улица Миклухо-Маклая, 33",район Коньково
1265,"Москва, Новоясеневский проспект, 9",район Ясенево
1266,"Москва, улица Обручева, 5А",Обручевский район
1267,"Москва, улица Маршала Савицкого, 6",район Южное Бутово
1268,"Москва, Мичуринский проспект, 5",район Раменки
1269,"Москва, Мичуринский проспект, 7",район Раменки
1270,"Москва, Веерная улица, 4",район Очаково-Матвеевское
1271,"Москва, Ломоносовский проспект, 29",район Раменки
1272,"Москва, проспект Вернадского, 94",Тропарёво
1273,"Москва, Нежинская улица, 1",Матвеевское
1274,"Москва, улица Удальцова, 15",район Проспект Вернадского
1275,"Москва, Мичуринский проспект, 16",район Раменки
1276,"Москва, улица Мичуринский Проспект, Олимпийская Деревня, 1",Олимпийская деревня
1277,"Москва, Ломоносовский проспект, 25",район Раменки
1278,"Москва, улица Покрышкина, 8",Олимпийская деревня
1279,"Москва, улица Столетова, 7",район Раменки
1280,"Москва, улица Столетова, 17",район Раменки
1281,"Москва, Веерная улица, 6",Матвеевское
1282,"Москва, Мосфильмовская улица, 53",район Раменки
1283,"Москва, улица Крылатские Холмы, 37",район Крылатское
1284,"Москва, Сколковское шоссе, 32",Можайский район
1285,"Москва, Молодогвардейская улица, 15",район Кунцево
1286,"Москва, Ярцевская улица, 32",район Кунцево
1287,"Москва, Авиационная улица, 63",район Щукино
1288,"Москва, Новокуркинское шоссе, 43",Машкино
1289,"Москва, улица Соловьиная Роща, 9",Машкино
1290,"Москва, Иваньковское шоссе, 5",Тушино
1291,"Москва, улица Соловьиная Роща, 11",Машкино
1292,"Москва, проспект Маршала Жукова, 59",район Хорошёво-Мнёвники
1293,"Москва, Соколово-Мещерская улица, 25",Машкино
1294,"Москва, улица Маршала Соколовского, 5",Октябрьское поле
1295,"Москва, Воротынская улица, 15",район Куркино
1296,"Москва, Воротынская улица, 13/2",район Куркино
1297,"Москва, Соколово-Мещерская улица, 16/114",район Куркино
1298,"Москва, Родионовская улица, 10",район Куркино
1299,"Москва, Родионовская улица, 12",район Куркино
1300,"Москва, улица Маршала Тухачевского, 41",район Хорошёво-Мнёвники
1301,"Москва, Митинская улица, 10",район Митино
1302,"Москва, Щукинская улица, 2",район Щукино
1303,"Москва, проспект Маршала Жукова, 43",район Хорошёво-Мнёвники
1304,"Москва, улица Генерала Белобородова, 24",район Митино
1305,"Москва, улица Соловьиная Роща, 16",Машкино
1306,"Москва, Петровско-Разумовская аллея, 10",район Аэропорт
1307,"Москва, Дмитровское шоссе, 13А",Соломенная сторожка
1308,"Москва, улица Гризодубовой, 4",Ходынское поле
1309,"Москва, проезд Берёзовой Рощи, 10",Ходынское поле
1310,"Москва, Фестивальная улица, 20",район Ховрино
1311,"Москва, проезд Берёзовой Рощи, 6",Ходынское поле
1312,"Москва, улица Дыбенко, 32",район Ховрино
1313,"Москва, улица Гризодубовой, 2",Ходынское поле
1314,"Москва, Дубнинская улица, 53",Бескудниковский район
1315,"Москва, Бескудниковский бульвар, 19",Верхние Лихоборы
1316,"Москва, улица Островитянова, 9",Обручевский район
1317,"Москва, Зеленоград, 533",район Савёлки
1318,"Москва, Зеленоград, 826",район Савёлки
1319,"Москва, Зеленоград, 126",район Савёлки
1320,"Москва, Зеленоград, 330",район Савёлки
1321,"Москва, проспект Андропова, 42",район Нагатино-Садовники
1322,"Москва, микрорайон Северное Чертаново, 1А",район Чертаново Северное
1323,"Москва, 1-й Нагатинский проезд, 11",район Нагатино-Садовники
1324,"Москва, 6-я Радиальная улица, 5",район Бирюлёво Восточное
1325,"Москва, Нагатинская набережная, 10",район Нагатино-Садовники
1326,"Москва, улица Академика Янгеля, 2",район Чертаново Южное
1327,"Москва, улица Сретенка, 9",Мещанский район
1328,"Москва, Чистопрудный бульвар, 1А",Басманный район
1329,"Москва, Трубная улица, 21",Мещанский район
1330,"Москва, Шмитовский проезд, 16",Пресненский район
1331,"Москва, Котельническая набережная, 33",Таганский район
1332,"Москва, Оболенский переулок, 9",Девичье поле
1333,"Москва, улица Большие Каменщики, 2",Кошельная слобода
1334,"Москва, улица Большая Якиманка, 50",Бабий городок
1335,"Москва, улица Большая Якиманка, 22",Бабий городок
1336,"Москва, Нижегородская улица, 25",Таганский район
1337,"Москва, Пречистенская набережная, 17",район Хамовники
1338,"Москва, Большая Грузинская улица, 69",Тверской район
1339,"Москва, Озерковская набережная, 26",Садовники
1340,"Москва, Большая Татарская улица, 7",Садовники
1341,"Москва, Цветной бульвар, 2",Мещанский район
1342,"Москва, 2-й Неопалимовский переулок, 3",Плющиха
1343,"Москва, Староконюшенный переулок, 45",район Арбат
1344,"Москва, улица Бурденко, 3",Плющиха
1345,"Москва, Мясницкая улица, 13",Красносельский район
1346,"Москва, поселение Вороновское, село Вороново, 110",поселение Вороновское
1347,"Москва, поселение Внуковское, улица Лётчика Ульянина, 2",Солнцево-Парк
1348,"Москва, поселение Внуковское, улица Лётчика Ульянина, 4",Солнцево-Парк
1349,"Москва, поселение Новофедоровское, деревня Рассудово, улица Рассудовское Лесничество, 9А",поселение Новофёдоровское
1350,"Москва, поселение Марушкинское, деревня Власово, Юбилейная улица, 148",поселение Марушкинское
1351,"Москва, поселение Внуковское, деревня Ликова, 1А",поселение Внуковское
1352,"Москва, поселение Десеновское, Армейская улица, 1",поселение Десёновское
1353,"Москва, поселение Десеновское, деревня Десна, 144УЧ",поселение Десёновское
1354,"Москва, Троицк, микрорайон ""В"", 39",поселение Троицк
1355,"Москва, Щербинка, Спортивная улица, 23",Щербинка
1356,"Москва, поселение Московский, № 80, 11А",поселение Московский
1357,"Москва, Троицк, Октябрьский проспект, 4",Троицк
1358,"Москва, Щербинка, 2-я Барышевская улица, 1",Барыши
1359,"Москва, Троицк, Нагорная улица, 4",Троицк
1360,"Москва, Троицк, Сиреневый бульвар, 11",Троицк
1361,"Москва, Щербинка, Юбилейная улица, 10",Щербинка
1362,"Москва, Щербинка, улица Мостотреста, 10",Щербинка
1363,"Москва, поселение Московский, деревня Говорово, 1Б/Н",поселение Московский
1364,"Москва, поселение Щаповское, деревня Троицкое, 38Б",поселение Щаповское
1365,"Москва, поселение Краснопахорское, село Красная Пахра, 2",поселение Краснопахорское
1366,"Москва, поселение Краснопахорское, село Красная Пахра, 6",поселение Краснопахорское
1367,"Москва, поселение Краснопахорское, село Красная Пахра, 9",поселение Краснопахорское
1368,"Москва, поселение Щаповское, деревня Овечкино, 42",поселение Щаповское
1369,"Москва, поселение Внуковское, деревня Пыхтино, 46А",поселение Внуковское
1370,"Москва, поселение Воскресенское, посёлок Воскресенское, 1",поселение Воскресенское
1371,"Москва, Московский, 3-й микрорайон, 12",поселение Московский
1372,"Москва, поселение Сосенское, посёлок Коммунарка, улица Липовый Парк, 5",поселение Сосенское
1373,"Москва, поселение Сосенское, посёлок Коммунарка, улица Сосенский Стан, 11",поселение Сосенское
1374,"Москва, поселение Щаповское, посёлок Щапово, улица Садовый Квартал, 59А",поселение Щаповское
1375,"Москва, поселение Сосенское, улица Александры Монаховой, 101",поселение Сосенское
1376,"Москва, поселение Роговское, деревня Бунчиха, 1",поселение Роговское
1377,"Москва, поселение Филимонковское, деревня Верхнее Валуево, 21А",поселение Филимонковское
1378,"Москва, поселение Новофедоровское, деревня Яковлевское, 132",поселение Новофёдоровское
1379,"Москва, поселение Московский, деревня Лапшинка, 2Б",поселение Московский
1380,"Москва, поселение Краснопахорское, село Красная Пахра, 8",поселение Краснопахорское
1381,"Москва, поселение Кленовское, село Кленово, улица 1-й километр Объездной Дороги, 11",поселение Клёновское
1382,"Москва, улица Мнёвники, 23",район Хорошёво-Мнёвники
1383,"Москва, улица Мнёвники, 21",район Хорошёво-Мнёвники
1384,"Москва, Митинская улица, 28",район Митино
1385,"Москва, улица Народного Ополчения, 3",Нижние Мнёвники
1386,"Москва, Газетный переулок, 17",Тверской район
1387,"Москва, улица Маршала Полубоярова, 12",район Выхино-Жулебино
1388,"Москва, Зеленоград, проезд № 4922, 4",район Старое Крюково
1389,"Москва, Ленинградское шоссе, 63",район Левобережный
1390,"Москва, Ленинградский проспект, 80",район Сокол
1391,"Москва, Конаковский проезд, 5",Головинский район
1392,"Москва, Зеленоград, Заводская улица, 16А",район Крюково
1395,"Москва, Полярная улица, 31В",район Северное Медведково
1398,"Москва, Ярославское шоссе, 146",Ярославский район
1399,"Москва, Ленинский проспект, 4",Бабий городок
1400,"Москва, Авиационный переулок, 5",район Аэропорт
1401,"Москва, улица Сущёвский Вал, 56",Напрудное
1402,"Москва, проспект Мира, 95",Останкинский район
1403,"Москва, улица Сретенка, 27",Мещанский район
1404,"Москва, улица Сретенка, 11",Мещанский район
1405,"Москва, улица Рождественка, 5/7",Мещанский район
1406,"Москва, Трубная улица, 20",Мещанский район
1407,"Москва, 3-я Новоостанкинская улица, 6",Останкинский район
1408,"Москва, Неглинная улица, 8/10",Тверской район
1409,"Москва, проспект Мира, 12",Напрудное
1410,"Москва, улица Кузнецкий Мост, 18/7",Мещанский район
1411,"Москва, Большая Сухаревская площадь, 1/2",Мещанский район
1412,"Москва, Колокольников переулок, 22",Мещанский район
1413,"Москва, Звёздный бульвар, 19",Останкинский район
1414,"Москва, улица Рождественка, 6/9/20",Мещанский район
1415,"Москва, улица Большая Лубянка, 13/16",Мещанский район
1416,"Москва, Профсоюзная улица, 122",район Тёплый Стан
1417,"Москва, улица Генерала Тюленева, 4А",район Тёплый Стан
1418,"Москва, Тимирязевская улица, 27",Соломенная сторожка
1419,"Москва, Докучаев переулок, 6",Красносельский район
1420,"Москва, Комсомольская площадь, 4",Красносельский район
1421,"Москва, 1-я Фрунзенская улица, 3А",Девичье поле
1422,"Москва, Алтуфьевское шоссе, 1",район Марфино
1423,"Москва, улица Станиславского, 21",Кошельная слобода
1424,"Москва, Нижегородская улица, 52",Нижегородский район
1425,"Москва, 1-й Грайвороновский проезд, 2",район Текстильщики
1426,"Москва, улица Пречистенка, 40/2",Плющиха
1427,"Москва, Большой Саввинский переулок, 12",район Хамовники
1428,"Москва, Фармацевтический проезд, 1",район Коптево
1429,"Москва, Дмитровское шоссе, 79",Дегунино
1430,"Москва, Дмитровское шоссе, 75",район Западное Дегунино
1431,"Москва, Угличская улица, 13",район Лианозово
1432,"Москва, улица Академика Скрябина, 8",Рязанский район
1433,"Москва, Большой Предтеченский переулок, 15/8",Кудрино
1434,"Москва, улица 1905 Года, 10",Кудрино
1435,"Москва, Большая Никитская улица, 19/13",Пресненский район
1436,"Москва, Леонтьевский переулок, 19/2",Пресненский район
1437,"Москва, Баррикадная улица, 21/34",Кудрино
1438,"Москва, Малый Кисловский переулок, 11",Пресненский район
1439,"Москва, Малая Бронная улица, 15Б",Пресненский район
1440,"Москва, Баррикадная улица, 2/1",Кудрино
1441,"Москва, Тверской бульвар, 24",Пресненский район
1442,"Москва, улица Вавилова, 66",Гагаринский район
1443,"Москва, улица Новаторов, 34",Обручевский район
1444,"Москва, улица Шаболовка, 56",Донской район
1445,"Москва, Ленинский проспект, 89/2",Ломоносовский район
1446,"Москва, улица Шаболовка, 58",Донской район
1447,"Москва, Ленинский проспект, 105",Обручевский район
1449,"Москва, Авиамоторная улица, 50",район Лефортово
1450,"Москва, Авиамоторная улица, 2",Андроново
1451,"Москва, Душинская улица, 7",район Лефортово
1452,"Москва, Малая Пироговская улица, 15",район Хамовники
1453,"Москва, Полярная улица, 33",район Северное Медведково
1454,"Москва, Соймоновский проезд, 5",район Хамовники
1456,"Москва, Лужнецкая набережная, 8",Лужники
1457,"Москва, Никольская улица, 5/1",Тверской район
1458,"Москва, улица Тимура Фрунзе, 3",Плющиха
1459,"Москва, Малый Власьевский переулок, 12",район Хамовники
1460,"Москва, Ветошный переулок, 9",Тверской район
1461,"Москва, Пречистенская набережная, 15",Старое Ваганьково
1462,"Москва, Гоголевский бульвар, 17",район Хамовники
1463,"Москва, улица Остоженка, 12/1",Плющиха
1464,"Москва, улица Доватора, 8",район Хамовники
1465,"Москва, улица Ильинка, 4",Тверской район
1466,"Москва, Зубовский бульвар, 13",Плющиха
1467,"Москва, Пречистенская набережная, 13",Старое Ваганьково
1468,"Москва, Богоявленский переулок, 6",Тверской район
1469,"Москва, 1-й Неопалимовский переулок, 6",Плющиха
1470,"Москва, улица Большая Ордынка, 21/16",Берсеневка
1471,"Москва, Садовническая улица, 54",Садовники
1472,"Москва, Новокузнецкая улица, 39",Садовники
1473,"Москва, улица Бахрушина, 25",Садовники
1474,"Москва, улица Балчуг, 1",Берсеневка
1475,"Москва, Шлюзовая набережная, 2/1",Садовники
1476,"Москва, Дубининская улица, 25",район Замоскворечье
1477,"Москва, Раушская набережная, 22/21",Садовники
1478,"Москва, Пятницкая улица, 46",Садовники
1479,"Москва, Садовническая улица, 57А",Садовники
1480,"Москва, Стремянный переулок, 33/35",район Замоскворечье
1481,"Москва, Кожевническая улица, 15",Даниловский район
1482,"Москва, Садовническая набережная, 37",Садовники
1483,"Москва, Кожевническая улица, 11/13",Даниловский район
1484,"Москва, Садовническая улица, 76/71",Садовники
1485,"Москва, Дубининская улица, 27",район Замоскворечье
1486,"Москва, Люсиновская улица, 36",район Замоскворечье
1487,"Москва, Малый Татарский переулок, 8",Садовники
1488,"Москва, 2-й Новокузнецкий переулок, 13/15",Садовники
1489,"Москва, Пятницкая улица, 25",Садовники
1490,"Москва, Кожевническая улица, 10",район Замоскворечье
1491,"Москва, 1-й Люсиновский переулок, 3Б",район Замоскворечье
1492,"Москва, Пятницкая улица, 74",Садовники
1493,"Москва, Большой Овчинниковский переулок, 18",Садовники
1494,"Москва, Большая Татарская улица, 21",Садовники
1495,"Москва, Садовническая набережная, 69",Садовники
1496,"Москва, Шлюзовая набережная, 6",Садовники
1497,"Москва, Озерковская набережная, 22/24",Садовники
1498,"Москва, Стремянный переулок, 36",район Замоскворечье
1499,"Москва, Садовническая улица, 84",Садовники
1500,"Москва, Новокузнецкая улица, 1",Садовники
1501,"Москва, Пятницкая улица, 29",Садовники
1502,"Москва, Пятницкая улица, 26",Садовники
1503,"Москва, Большая Серпуховская улица, 8/7",район Замоскворечье
1504,"Москва, Люсиновская улица, 9",район Замоскворечье
1505,"Москва, Пятницкая улица, 27",Садовники
1506,"Москва, Пятницкая улица, 30",Садовники
1507,"Москва, Пятницкая улица, 62",Садовники
1508,"Москва, улица Бахрушина, 36/14",Садовники
1509,"Москва, Садовническая улица, 20",Садовники
1510,"Москва, Пятницкая улица, 14",Садовники
1511,"Москва, Суздальская улица, 26А",Новокосино
1512,"Москва, Лениногорская улица, 32",Ухтомский
1513,"Москва, Прокатная улица, 7",район Ивановское
1514,"Москва, Кадашёвская набережная, 6/1/2",Берсеневка
1515,"Москва, улица Обручева, 11",Обручевский район
1516,"Москва, Малая Калужская улица, 1",Донской район
1517,"Москва, Ленинский проспект, 65",Гагаринский район
1518,"Москва, улица Большая Якиманка, 31",Бабий городок
1519,"Москва, улица Орджоникидзе, 3",Донской район
1520,"Москва, Ленинский проспект, 1/2",Бабий городок
1521,"Москва, улица Косыгина, 15",Гагаринский район
1522,"Москва, проспект Вернадского, 29",Ломоносовский район
1523,"Москва, улица Шаболовка, 9",Бабий городок
1524,"Москва, Ленинский проспект, 2",Бабий городок
1525,"Москва, Азовская улица, 18",район Зюзино
1526,"Москва, Болотниковская улица, 21",район Зюзино
1527,"Москва, Болотниковская улица, 52",район Зюзино
1528,"Москва, улица Гарибальди, 27",район Черёмушки
1529,"Москва, 4-й Новомихалковский проезд, 9А",район Коптево
1530,"Москва, Планерная улица, 14",Алёшкино
1531,"Москва, улица Свободы, 71",Алёшкино
1532,"Москва, Волоколамское шоссе, 116",район Покровское-Стрешнево
1533,"Москва, улица Героев Панфиловцев, 24",район Северное Тушино
1534,"Москва, улица Вилиса Лациса, 29",район Северное Тушино
1536,"Москва, улица Добролюбова, 2",Бутырский район
1537,"Москва, улица Молодцова, 21",район Южное Медведково
1538,"Москва, Полярная улица, 21",район Южное Медведково
1539,"Москва, проезд Шокальского, 61",район Северное Медведково
1540,"Москва, улица Лескова, 34",район Бибирево
1541,"Москва, Полярная улица, 39Б",район Южное Медведково
1542,"Москва, улица Конёнкова, 4А",район Бибирево
1543,"Москва, улица Корнейчука, 52А",район Бибирево
1544,"Москва, Бибиревская улица, 5",район Бибирево
1545,"Москва, проезд Дежнёва, 13",район Южное Медведково
1547,"Москва, Тихвинская улица, 2",район Марьина Роща
1548,"Москва, улица Сущёвский Вал, 59",район Марьина Роща
1549,"Москва, Осташковская улица, 20",район Северное Медведково
1550,"Москва, Белозерская улица, 15",район Бибирево
1552,"Москва, Шереметьевская улица, 29",район Марьина Роща
1553,"Москва, Ясный проезд, 21",район Южное Медведково
1554,"Москва, Сухонская улица, 13",район Северное Медведково
1555,"Москва, Белозерская улица, 7",район Бибирево
1556,"Москва, Амурская улица, 7",Калошино
1557,"Москва, улица Стромынка, 20",район Сокольники
1558,"Москва, Малая Семёновская улица, 15",район Соколиная Гора
1559,"Москва, Краснобогатырская улица, 38",район Богородское
1560,"Москва, Большая Ширяевская улица, 11",район Сокольники
1561,"Москва, улица Сретенка, 36",Красносельский район
1562,"Москва, Бобров переулок, 6",Красносельский район
1563,"Москва, Новая Басманная улица, 13/2",Бауманка
1564,"Москва, Большая Спасская улица, 15",Красносельский район
1566,"Москва, улица Декабристов, 15",район Отрадное
1567,"Москва, Авиационная улица, 17",район Щукино
1568,"Москва, Таллинская улица, 7",район Строгино
1569,"Москва, 3-я Хорошёвская улица, 11",район Хорошёво-Мнёвники
1570,"Москва, проспект Маршала Жукова, 60",район Хорошёво-Мнёвники
1571,"Москва, Живописная улица, 14",район Хорошёво-Мнёвники
1572,"Москва, улица Маршала Катукова, 10",район Строгино
1573,"Москва, улица Кулакова, 9",район Строгино
1574,"Москва, Дружинниковская улица, 15",Кудрино
1575,"Москва, Большая Никитская улица, 13",Пресненский район
1576,"Москва, Моховая улица, 11",Тверской район
1577,"Москва, Большой Трёхгорный переулок, 11",Кудрино
1578,"Москва, Большая Садовая улица, 14",Тверской район
1579,"Москва, Поварская улица, 50/53",район Арбат
1580,"Москва, Большая Грузинская улица, 61",Пресненский район
1581,"Москва, Большая Никитская улица, 12",Пресненский район
1582,"Москва, Газетный переулок, 3-5",Пресненский район
1583,"Москва, Большая Бронная улица, 23",Пресненский район
1584,"Москва, улица Заморёнова, 27",Кудрино
1585,"Москва, Рочдельская улица, 15",Кудрино
1586,"Москва, Садовая-Кудринская улица, 5",Кудрино
1587,"Москва, Спиридоньевский переулок, 9",Пресненский район
1588,"Москва, Никитский бульвар, 8-А/3",район Арбат
1589,"Москва, Шмитовский проезд, 3",Пресненский район
1590,"Москва, Васильевская улица, 13",Пресненский район
1591,"Москва, Трёхпрудный переулок, 15",Тверской район
1592,"Москва, Малая Бронная улица, 28",Пресненский район
1593,"Москва, Большая Грузинская улица, 52",Кудрино
1594,"Москва, Большая Садовая улица, 2/46",Тверской район
1595,"Москва, Большая Грузинская улица, 32-34",Кудрино
1596,"Москва, улица Литвина-Седого, 10",Шелепиха
1597,"Москва, Большая Бронная улица, 11",Пресненский район
1598,"Москва, Малая Бронная улица, 2",Пресненский район
1599,"Москва, Шмитовский проезд, 2",Пресненский район
1600,"Москва, Большая Никитская улица, 14/2",Пресненский район
1601,"Москва, Большая Никитская улица, 15",Пресненский район
1602,"Москва, Большой Козихинский переулок, 17",Пресненский район
1603,"Москва, Хлебный переулок, 2/3",район Арбат
1604,"Москва, Большая Никитская улица, 60",Кудрино
1605,"Москва, Малая Бронная улица, 24",Пресненский район
1606,"Москва, улица Красина, 27",Кудрино
1607,"Москва, Садовая-Кудринская улица, 18",Кудрино
1608,"Москва, Большая Никитская улица, 58",Кудрино
1609,"Москва, Большая Грузинская улица, 2/12",Кудрино
1610,"Москва, улица Красная Пресня, 46",Кудрино
1611,"Москва, шоссе Энтузиастов, 31Д",район Перово
1612,"Москва, Семёновский переулок, 21",район Соколиная Гора
1613,"Москва, Окружной проезд, 18",район Соколиная Гора
1614,"Москва, Большая Семёновская улица, 45",район Соколиная Гора
1615,"Москва, Большая Семёновская улица, 38",район Соколиная Гора
1616,"Москва, Окружной проезд, 19",район Соколиная Гора
1617,"Москва, Измайловский бульвар, 8",район Измайлово
1618,"Москва, Нижняя Первомайская улица, 77",район Восточное Измайлово
1619,"Москва, 12-я Парковая улица, 7",район Восточное Измайлово
1620,"Москва, Измайловское шоссе, 71",район Измайлово
1621,"Москва, Щербаковская улица, 3",район Соколиная Гора
1622,"Москва, Измайловское шоссе, 44",район Соколиная Гора
1623,"Москва, Старая Басманная улица, 18",Бауманка
1624,"Москва, улица Покровка, 1/13",Басманный район
1625,"Москва, улица Покровка, 1/13/6",Басманный район
1627,"Москва, Спартаковская улица, 25/28",Бауманка
1628,"Москва, Бауманская улица, 48/13",Бауманка
1629,"Москва, улица Фридриха Энгельса, 23",Бауманка
1630,"Москва, Большой Златоустинский переулок, 1",Басманный район
1631,"Москва, Бауманская улица, 42",Бауманка
1632,"Москва, Старая Басманная улица, 34",Бауманка
1633,"Москва, улица Покровка, 17",Басманный район
1634,"Москва, Садовая-Черногрязская улица, 22",Хитровка
1635,"Москва, Старая Басманная улица, 38/2",Бауманка
1636,"Москва, Никольская улица, 8/1",Тверской район
1637,"Москва, улица Фридриха Энгельса, 3-5",Бауманка
1638,"Москва, Мясницкая улица, 14/2",Басманный район
1639,"Москва, Бакунинская улица, 7",Бауманка
1640,"Москва, Мясницкая улица, 46",Басманный район
1641,"Москва, Кривоколенный переулок, 3",Басманный район
1642,"Москва, Большой Златоустинский переулок, 7",Басманный район
1643,"Москва, Новая площадь, 10",Тверской район
1644,"Москва, Большой Черкасский переулок, 13",Тверской район
1645,"Москва, Малый Черкасский переулок, 2",Тверской район
1646,"Москва, Лубянский проезд, 7",Басманный район
1647,"Москва, Большой Черкасский переулок, 15-17",Тверской район
1648,"Москва, Старая Басманная улица, 7",Хитровка
1649,"Москва, Бакунинская улица, 81",Покровское-Рубцово
1650,"Москва, Гольяновская улица, 7А",Покровское-Рубцово
1651,"Москва, Мясницкая улица, 42",Красносельский район
1652,"Москва, улица Казакова, 15",Бауманка
1653,"Москва, 2-я Бауманская улица, 5",Немецкая слобода
1654,"Москва, Потаповский переулок, 5",Басманный район
1655,"Москва, улица Маросейка, 3/13",Басманный район
1656,"Москва, Старая Басманная улица, 21/4",Бауманка
1657,"Москва, Большой Харитоньевский переулок, 25",Хитровка
1658,"Москва, улица Ильинка, 13",Тверской район
1659,"Москва, Гороховский переулок, 4",Бауманка
1660,"Москва, Большая Почтовая улица, 26",Покровское-Рубцово
1661,"Москва, Садовая-Кудринская улица, 7",Кудрино
1662,"Москва, Конюшковская улица, 34",Кудрино
1663,"Москва, Тверской бульвар, 14",Пресненский район
1664,"Москва, Зеленоград, 317А, 1",район Савёлки
1665,"Москва, Зеленоград, 855",район Савёлки
1671,"Москва, Зеленоград, Каштановая аллея, 4",район Савёлки
1672,"Москва, 1-я Рейсовая улица, 2",район Внуково
1673,"Москва, 1-я Рейсовая улица, 13",район Внуково
1674,"Москва, Зеленоград, 403А",район Савёлки
1675,"Москва, Изваринская улица, 4",район Внуково
1676,"Москва, Дивизионная улица, 4",район Внуково
1677,"Москва, посёлок Внуково, Центральная улица, 15А",район Внуково
1678,"Москва, Заводское шоссе, 2",район Внуково
1679,"Москва, Заводское шоссе, 15",район Внуково
1680,"Москва, Зеленоград, площадь Юности, 2",район Матушкино
1681,"Москва, Зеленоград, Каштановая аллея, 2",район Савёлки
1682,"Москва, улица Усиевича, 18А",район Аэропорт
1683,"Москва, Часовая улица, 22/2",район Аэропорт
1684,"Москва, Фестивальная улица, 2",район Левобережный
1685,"Москва, Ленинградское шоссе, 39",Войковский район
1686,"Москва, улица Константина Царёва, 16",район Сокол
1687,"Москва, Чапаевский переулок, 12",район Сокол
1688,"Москва, Клинская улица, 6",район Ховрино
1689,"Москва, Кронштадтский бульвар, 43А",Головинский район
1690,"Москва, Пулковская улица, 6",Головинский район
1691,"Москва, Ленинградское шоссе, 57",район Левобережный
1692,"Москва, улица Константина Царёва, 12",район Сокол
1693,"Москва, Волоколамское шоссе, 4",район Сокол
1694,"Москва, Клинская улица, 8А",район Ховрино
1695,"Москва, Смольная улица, 36",район Левобережный
1696,"Москва, Волоколамское шоссе, 2",район Сокол
1697,"Москва, Смольная улица, 2",Головинский район
1698,"Москва, Смольная улица, 14",Головинский район
1699,"Москва, Ленинградский проспект, 63",район Сокол
1700,"Москва, Волоколамское шоссе, 1",район Сокол
1701,"Москва, Головинское шоссе, 1",Головинский район
1702,"Москва, Дубосековская улица, 4А",район Сокол
1703,"Москва, Кронштадтский бульвар, 20",Головинский район
1704,"Москва, Волоколамское шоссе, 11",район Сокол
1705,"Москва, Кронштадтский бульвар, 7А",Головинский район
1706,"Москва, Ленинградское шоссе, 64",Головинский район
1707,"Москва, Булатниковский проезд, 16",район Бирюлёво Западное
1708,"Москва, Варшавское шоссе, 38",Нагорный район
1709,"Москва, Харьковский проезд, 5А",район Бирюлёво Западное
1710,"Москва, улица Красного Маяка, 4",район Чертаново Центральное
1711,"Москва, Варшавское шоссе, 116",район Чертаново Северное
1713,"Москва, Варшавское шоссе, 34",Нагорный район
1715,"Москва, Варшавское шоссе, 129",район Чертаново Центральное
1716,"Москва, Варшавское шоссе, 83",Нагорный район
1717,"Москва, Варшавское шоссе, 125",район Чертаново Северное
1721,"Москва, Загородное шоссе, 2А",Донской район
1723,"Москва, улица Газопровод, 1",район Чертаново Южное
